candidate_id,instance_id,family,family_label,restricted,topology,synthesis,actions,n_aux,retained_cubic,reduced,logical_Q,maximum_penalty,category,evidence_json,input_hash,historical_resources_json
68a8f3282c6cb28e9967503d,max3sat_003,max3sat,max3sat,True,line12,canonical,"2,2,0,0,2",3,0,5,9,1.1,full,"{""applicable"":true,""assignments_checked"":512,""encoded_polynomial_sha256"":""761ea044a31c57c89d0182305e3283ea385acc4a46cba03af5d59af579c45138"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",1d55c859a87566c777ae2af734ce70a603663d7c4d0d0bbfd8974510bd1e21d9,"{""D"": 44, ""G"": 94, ""J"": 0.46041666666666664, ""M"": 1.1, ""Q"": 9, ""logical_Q"": 9}"
ffa3318d1f737013c487755a,max3sat_003,max3sat,max3sat,True,line12,canonical,"1,0,0,0,0",3,0,5,9,2.2,full,"{""applicable"":true,""assignments_checked"":512,""encoded_polynomial_sha256"":""28c07e63bfb684913f490947ddbe61df283075b85fdbc23f0c23b1f1a0bb3790"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",6930fad797fb29426c28ffb0bb2ed39c42f174f380fcf935df35748872dd6fdf,"{""D"": 55, ""G"": 108, ""J"": 0.5395833333333333, ""M"": 2.2, ""Q"": 9, ""logical_Q"": 9}"
268786c3f4f5aa1da859fd0d,max3sat_003,max3sat,max3sat,True,line12,canonical,"0,2,2,0,0",4,0,5,10,2.2,full,"{""applicable"":true,""assignments_checked"":1024,""encoded_polynomial_sha256"":""ac2960036c18230b498ca545e1f062926c63385648fd6dff3e9e261b43be7dc2"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",31a81cf7304885a665d7954d098c204c64a57a775c2176dbfa08e74de1eed7d1,"{""D"": 51, ""G"": 125, ""J"": 0.6203124999999999, ""M"": 2.2, ""Q"": 10, ""logical_Q"": 10}"
5afcc971b666803b79792366,max3sat_003,max3sat,max3sat,True,line12,canonical,"2,1,2,2,0",4,0,5,10,2.2,full,"{""applicable"":true,""assignments_checked"":1024,""encoded_polynomial_sha256"":""27b344831d6a2a2a38bcce448000c523bebc74e197291c2c56abed45dbc2b106"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",123242a842d4c1aa2050c1d8a55d750421d0dc73daedade69caee4b414214b88,"{""D"": 55, ""G"": 124, ""J"": 0.6270833333333333, ""M"": 2.2, ""Q"": 10, ""logical_Q"": 10}"
783bc8439a11ebf19aa26493,max3sat_003,max3sat,max3sat,True,line12,canonical,"2,2,1,2,0",5,0,5,11,1.1,full,"{""applicable"":true,""assignments_checked"":2048,""encoded_polynomial_sha256"":""b853c08d9d649ace3e09e1ecb06d17a57b28b8f59ed8e08143f0d0f5ec365833"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",9dbeb93bb9a454aa4bde91ee4e8a5846b64206e5d3b5c3a1686b4f5c97148463,"{""D"": 54, ""G"": 133, ""J"": 0.6671875, ""M"": 1.1, ""Q"": 11, ""logical_Q"": 11}"
0ce1d53ee33e9ce13e8cb285,max3sat_003,max3sat,max3sat,True,line12,canonical,"1,0,2,1,0",4,0,5,10,2.2,full,"{""applicable"":true,""assignments_checked"":1024,""encoded_polynomial_sha256"":""38b6aa01ab732de117e0edd038289ac5e27c79af697ff3df0d3ced57d852e3d9"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",24738f941bf4f7d8bd433c46f8de9c68211a92e9cd9fbce7968721d2e80fe6e8,"{""D"": 53, ""G"": 117, ""J"": 0.6119791666666666, ""M"": 2.2, ""Q"": 10, ""logical_Q"": 10}"
e5751aede54218ac1017004b,max3sat_003,max3sat,max3sat,True,line12,canonical,"1,2,2,1,0",5,0,5,11,1.1,full,"{""applicable"":true,""assignments_checked"":2048,""encoded_polynomial_sha256"":""32d5d974476553b82699e929f038e187fe9d8090a834712a49cd6c2a52da0589"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",d7273bccff471659dbcb8b2d0bd44828ce1a1143c3c1b86f452d9c4d7527851a,"{""D"": 51, ""G"": 137, ""J"": 0.6671875, ""M"": 1.1, ""Q"": 11, ""logical_Q"": 11}"
40cf25a7a7e2fcf30fdd7570,max3sat_003,max3sat,max3sat,True,line12,canonical,"2,0,2,1,0",5,0,5,11,1.1,full,"{""applicable"":true,""assignments_checked"":2048,""encoded_polynomial_sha256"":""7fcb8fe152a37c7fe45c222fe78d9ad5be3a86e8390625348b5f4249dc4bfe77"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",cf792b7f57e9e50d95bebed4fc683b13059403835ab314412876a1b0ccc37e14,"{""D"": 62, ""G"": 143, ""J"": 0.6994791666666667, ""M"": 1.1, ""Q"": 11, ""logical_Q"": 11}"
764fa21515c1bc7db038fcdf,max3sat_003,max3sat,max3sat,True,line12,canonical,"1,1,0,1,1",5,0,5,11,1.1,full,"{""applicable"":true,""assignments_checked"":2048,""encoded_polynomial_sha256"":""6227eb29b8b45849936de5611e676007c36cae80f50edcb5d69f8c89fd48e73a"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",eb7abc01e19dd8199b435c7397b8e34a8d769763d5b195f2870a047f5e1154f3,"{""D"": 57, ""G"": 141, ""J"": 0.6859375000000001, ""M"": 1.1, ""Q"": 11, ""logical_Q"": 11}"
8b027b88b058f627bf3217e4,max3sat_003,max3sat,max3sat,True,line12,canonical,"1,2,0,1,1",5,0,5,11,1.1,full,"{""applicable"":true,""assignments_checked"":2048,""encoded_polynomial_sha256"":""d9f38893bd1a9e9ce8e96083c05113d43c8e9b15afadc7d187b5fcd6b033cfb5"",""inconsistent_minimiser_count"":0,""method"":""exhaustive_all_x_y_unique_consistent_lift"",""mismatch_count"":0}",705219be16726e353b3f035987df99c4138859d9da6c3f1fa958ec493c3f89e0,"{""D"": 48, ""G"": 130, ""J"": 0.65, ""M"": 1.1, ""Q"": 11, ""logical_Q"": 11}"
